"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","PRODOTTI1","Attività non finanziarie","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N1131","mezzi di trasporto","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",8219.9,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N1131","mezzi di trasporto","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",7181.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N1131","mezzi di trasporto","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",8554.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",241.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",96.9,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",171.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",160.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",149,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",139.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",13785.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",13761.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",13735.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",13678.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",13752,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",13694.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",80527.9,,
